Timestamp,Clamped_X,Clamped_Y,Raw_X,Raw_Y,Vx,Vy,Vz
15:10:43.885,18.41,42.70,18.41,42.70,205.57,-192.52,-104.70
15:10:45.429,-2.88,0.02,-2.88,0.02,-14.93,-0.90,-200.88
15:10:52.524,-50.00,50.00,-63.33,84.24,-125.74,194.30,-218.24
15:10:57.240,-38.90,-50.00,-38.90,-65.00,20.27,337.96,-373.49
15:10:59.170,-50.00,12.78,-259.40,12.78,-60.34,122.64,-296.29
15:11:00.316,-50.00,-5.03,-72.01,-5.03,-0.07,-55.46,-171.06
15:11:02.056,-50.00,-50.00,-65.50,-97.78,20.56,-131.39,-69.10
15:11:04.519,-50.00,50.00,-112.16,111.39,-20.44,56.86,-314.38
15:11:08.496,-41.34,-34.53,-41.34,-34.53,45.17,-16.62,-185.63
15:11:09.822,-50.00,50.00,-117.60,104.93,-15.85,-14.98,-199.90
15:11:11.911,-50.00,39.25,-89.01,39.25,29.24,-102.18,-105.19
15:11:13.505,-50.00,50.00,-134.04,130.75,-122.11,493.00,-558.42
15:11:15.225,50.00,50.00,90.61,141.58,-173.38,-279.75,-230.42
15:11:16.540,-50.00,50.00,-117.33,104.65,-7.05,-1.95,-213.66
15:11:24.001,-50.00,-49.17,-85.78,-49.17,13.94,-26.47,-168.10
15:11:25.375,-50.00,-6.24,-128.22,-6.24,-6.27,1.29,-236.80
15:11:28.126,-50.00,-7.23,-128.92,-7.23,-10.47,-2.67,-236.42
15:11:30.700,-50.00,-5.38,-103.10,-5.38,14.62,-0.95,-216.31
15:11:32.250,-50.00,-7.49,-155.77,-7.49,-30.34,-1.23,-221.57
15:11:34.079,50.00,50.00,448.81,50.82,-0.57,96.54,-328.34
15:11:35.734,-50.00,50.00,-142.79,106.11,-2.70,1.32,-262.57
15:11:37.164,-50.00,-50.00,-388.77,-101.66,-499.15,-121.33,-65.16
15:11:38.712,-50.00,50.00,-149.70,116.44,-15.19,61.81,-384.12
15:11:40.255,-50.00,50.00,-101.19,105.01,9.25,0.93,-249.15
15:11:41.779,-50.00,-50.00,-584.47,-88.78,-545.69,-148.74,-60.87
15:11:43.295,-50.00,-6.34,-104.25,-6.34,29.61,-0.29,-241.02
15:11:45.810,-50.00,-6.25,-120.52,-6.25,4.64,0.02,-216.40
15:11:47.857,-50.00,-5.26,-114.40,-5.26,18.32,2.60,-244.73
15:11:49.339,-50.00,-5.33,-111.57,-5.33,8.63,1.15,-237.64
15:11:51.813,-50.00,-4.86,-107.42,-4.86,2.33,1.26,-218.76
15:11:54.159,-50.00,-5.61,-111.46,-5.61,15.92,0.15,-246.92
15:11:55.609,-50.00,-6.00,-127.82,-6.00,-21.73,-0.67,-228.44
15:11:57.280,-50.00,50.00,-98.30,101.83,63.28,-25.16,-206.30
15:11:58.895,-50.00,50.00,-114.32,103.96,6.19,-4.97,-239.52
15:12:00.592,-50.00,-37.03,-127.41,-37.03,0.62,-14.26,-208.71
15:12:02.666,-50.00,-43.35,-124.53,-43.35,-22.79,-48.42,-150.36
15:12:04.438,-50.00,50.00,-94.77,108.48,22.16,19.18,-274.40
15:12:06.039,-50.00,50.00,-106.98,107.75,-13.32,60.46,-295.17
15:12:09.607,50.00,50.00,459.35,62.13,752.15,-96.77,-207.63
15:12:11.045,50.00,24.99,484.95,24.99,-150.93,-54.35,-153.84
15:12:12.590,-50.00,-4.86,-76.08,-4.86,13.37,1.18,-237.15
