Timestamp,Clamped_X,Clamped_Y,Raw_X,Raw_Y,Vx,Vy,Vz
18:37:52.773,21.87,-22.91,21.87,-22.91,17.69,-2.79,-1523.48
18:38:02.325,-50.00,3.09,-69.25,3.09,-11.00,-30.98,-1588.36
18:38:18.886,-50.00,1.74,-86.83,1.74,-18.09,-7.46,-1595.95
18:38:28.972,49.44,0.45,49.44,0.45,19.59,1.08,-1400.20
18:38:31.651,-28.38,15.91,-28.38,15.91,-10.70,11.20,-1490.45
18:39:11.241,-50.00,-50.00,-124.25,-117.75,-19.67,-60.61,-2186.03
18:39:11.823,-50.00,-50.00,-126.14,-157.78,-16.26,-62.81,-2004.79
18:39:51.322,-50.00,-50.00,-129.49,-208.65,-15.41,-75.00,-2120.86
18:40:34.438,-50.00,-50.00,-143.84,-79.00,-14.77,32.79,-2125.56
18:40:43.413,22.66,-27.33,22.66,-27.33,18.61,9.99,-1478.06
18:40:46.213,-50.00,44.94,-64.38,44.94,-14.06,20.87,-1562.47
18:40:48.840,47.02,-6.18,47.02,-6.18,19.35,-12.38,-1412.60
18:41:15.534,-50.00,-50.00,-163.86,-105.40,-18.38,-21.11,-1764.24
18:41:17.154,-50.00,-50.00,-187.80,-225.02,-10.75,-35.54,-1874.77
18:41:35.797,0.52,-50.00,0.52,-169.70,13.27,-23.49,-1644.07
18:41:43.904,-50.00,5.86,-140.84,5.86,-12.34,10.40,-1822.98
18:41:49.067,50.00,30.12,59.79,30.12,17.82,-0.38,-1484.19
18:42:15.088,-50.00,50.00,-178.37,67.11,-13.53,-9.36,-1822.65
18:42:31.999,-50.00,50.00,-164.24,104.42,-18.14,17.53,-1993.90
18:42:51.401,-50.00,-46.92,-177.33,-46.92,-17.54,-57.41,-1778.19
