Timestamp,Clamped_X,Clamped_Y,Raw_X,Raw_Y,Vx,Vy,Vz
17:56:05.443,-2.52,2.41,-2.52,2.41,4.04,4.24,-1503.20
17:56:07.848,50.00,-23.08,86.17,-23.08,36.99,-29.09,-1315.60
17:56:08.700,50.00,10.95,159.26,10.95,50.17,-14.62,-1378.12
17:56:17.198,-50.00,50.00,-104.64,59.28,-167.28,-5.83,-1227.71
17:56:24.750,-26.84,50.00,-26.84,69.83,-88.50,-21.11,-1233.42
17:56:44.634,34.97,26.74,34.97,26.74,15.03,5.79,-1111.26
17:56:51.794,7.59,50.00,7.59,147.16,95.17,-27.07,-1471.63
17:57:12.273,50.00,50.00,70.32,117.82,-124.79,-15.54,-1769.24
17:57:13.016,-15.98,50.00,-15.98,106.17,-118.86,-24.33,-1415.62
17:57:37.932,50.00,50.00,132.09,135.11,-45.93,19.12,-1649.67
17:57:50.489,-50.00,50.00,-452.32,233.76,-89.77,-3.10,-1361.51
17:58:00.659,24.15,50.00,24.15,63.65,-45.71,-20.20,-1194.37
17:58:31.717,50.00,-50.00,112.12,-99.53,-32.45,14.00,-1201.70
17:58:33.447,50.00,-50.00,163.86,-72.36,13.44,7.07,-1262.47
17:58:38.994,50.00,-6.73,194.32,-6.73,-46.52,12.58,-1181.91
17:58:39.454,50.00,-21.45,165.69,-21.45,-52.24,-1.89,-1239.87
17:58:41.511,50.00,-42.63,156.84,-42.63,10.39,0.45,-1229.69
17:58:47.947,12.06,50.00,12.06,96.80,21.97,15.04,-1210.79
17:58:48.914,50.00,50.00,106.20,78.72,69.45,-4.76,-1284.98
17:58:55.576,50.00,-50.00,81.27,-77.23,-45.24,5.42,-1224.37
17:58:56.730,50.00,-50.00,69.80,-65.14,-18.74,7.58,-1204.33
17:59:05.577,11.64,50.00,11.64,177.82,174.37,-78.54,-1227.10
17:59:11.942,-50.00,50.00,-111.54,254.29,81.44,-50.45,-1551.82
17:59:29.682,-50.00,50.00,-135.97,230.46,16.25,10.31,-2556.69
17:59:41.885,50.00,27.67,195.33,27.67,33.08,15.37,-1139.50
17:59:42.399,50.00,15.45,234.36,15.45,44.51,-1.43,-1136.84
17:59:52.527,50.00,50.00,176.53,103.61,31.13,12.10,-1233.36
18:00:18.075,-33.66,50.00,-33.66,100.93,-177.53,18.93,-1370.27
18:00:19.765,-50.00,50.00,-216.59,75.30,-105.19,-24.10,-1171.04
18:00:29.030,-5.64,50.00,-5.64,147.61,114.63,8.95,-1699.53
18:00:29.715,13.86,50.00,13.86,60.96,73.32,-47.40,-1296.71
18:00:45.141,-50.00,50.00,-135.07,221.37,71.91,-21.29,-2055.37
18:00:54.351,50.00,50.00,138.12,164.04,34.58,8.67,-1268.01
18:01:00.888,50.00,11.05,261.72,11.05,-25.88,-28.36,-1080.79
18:01:05.275,-50.00,50.00,-155.33,106.85,-83.86,-8.54,-1230.80
18:01:12.627,-50.00,-50.00,-152.38,-53.84,17.52,11.61,-1091.92
18:01:14.111,-50.00,-38.81,-116.60,-38.81,29.43,13.72,-1115.87
18:01:15.140,-38.56,-10.97,-38.56,-10.97,43.63,17.78,-1075.13
18:01:22.843,50.00,50.00,308.74,75.06,131.90,3.39,-1237.77
18:01:26.124,46.60,50.00,46.60,115.77,-33.55,12.39,-1373.35
18:01:27.325,50.00,50.00,111.47,97.92,29.45,-12.38,-1298.28
18:01:58.561,32.07,50.00,32.07,164.82,119.52,-4.66,-2206.64
18:02:19.581,50.00,50.00,124.86,97.48,-29.14,16.55,-1145.98
18:02:20.437,50.00,50.00,76.70,84.09,-36.28,-3.09,-1131.71
