Timestamp,Clamped_X,Clamped_Y,Raw_X,Raw_Y,Vx,Vy,Vz
18:30:35.314,50.00,50.00,201.43,123.01,18.57,15.74,-1553.28
18:31:00.940,18.46,37.99,18.46,37.99,-17.97,-84.66,-1789.03
18:31:06.103,50.00,50.00,255.74,127.55,17.40,38.07,-1401.11
18:31:12.368,50.00,-50.00,55.59,-268.93,-16.59,-86.69,-1637.13
18:31:25.590,50.00,50.00,238.98,70.78,12.35,11.95,-2841.19
18:31:29.689,50.00,-2.35,417.73,-2.35,9.16,5.85,-1285.77
18:31:33.746,50.00,50.00,271.51,69.63,-5.47,-0.62,-1485.56
18:31:43.937,50.00,-50.00,90.90,-68.95,-12.30,-12.78,-1484.87
18:31:54.262,50.00,-5.31,349.71,-5.31,16.39,2.34,-1178.62
18:31:59.982,50.00,18.23,246.76,18.23,-17.47,-1.94,-1404.44
18:32:02.314,50.00,50.00,267.53,105.22,6.80,22.34,-1547.85
18:32:07.218,50.00,7.84,141.49,7.84,-8.43,-53.26,-1774.49
18:32:26.548,50.00,50.00,297.23,135.48,-2.74,45.71,-1929.21
18:32:27.177,50.00,50.00,268.68,118.88,-14.52,17.49,-1465.61
18:32:28.188,50.00,50.00,260.04,98.43,-7.07,-5.97,-1387.58
18:32:31.556,50.00,50.00,239.72,112.82,-2.70,30.61,-1503.62
18:32:37.283,34.69,-50.00,34.69,-168.17,-16.29,-106.25,-1611.32
18:32:45.429,-5.66,-50.00,-5.66,-135.58,-15.62,33.35,-2017.01
18:32:50.151,50.00,50.00,130.01,60.74,5.89,43.18,-1976.50
