Timestamp,Clamped_X,Clamped_Y,Raw_X,Raw_Y,Vx,Vy,Vz
15:25:19.059,-50.00,7.22,-170.97,7.22,8.16,-1.17,-228.31
15:25:29.180,50.00,4.94,198.09,4.94,-3.83,-2.19,-180.26
15:25:31.051,50.00,6.99,181.15,6.99,-10.12,3.11,-160.15
15:25:32.187,50.00,5.14,207.92,5.14,0.81,-3.11,-165.40
15:25:34.882,50.00,50.00,203.16,53.02,-1.03,-25.20,-201.24
15:26:10.815,50.00,24.99,277.80,24.99,-1.49,2.21,-172.61
15:26:38.878,-49.47,-50.00,-49.47,-128.16,-6.92,-80.83,-211.23
15:26:39.681,-33.98,-50.00,-33.98,-150.15,1.68,-40.32,-227.36
15:26:40.663,-50.00,-50.00,-68.42,-186.98,-18.65,-30.76,-222.48
15:26:42.696,-50.00,-50.00,-115.32,-246.87,-6.58,-0.15,-234.93
15:26:43.368,-50.00,-50.00,-134.84,-260.16,-18.92,-9.37,-235.49
15:26:43.780,-50.00,-50.00,-140.20,-257.90,-14.94,0.41,-233.40
15:26:44.585,-50.00,-50.00,-131.89,-90.06,-14.38,-359.81,-593.94
15:26:45.381,-50.00,50.00,-124.17,276.06,-10.14,41.61,-214.31
15:26:47.780,-50.00,-50.00,-123.57,-121.41,-8.15,-341.04,-369.61
15:26:52.856,50.00,-1.20,195.14,-1.20,2.70,0.10,-171.40
15:26:54.041,50.00,14.96,165.46,14.96,-11.72,-1.21,-168.39
15:26:58.593,50.00,18.11,165.10,18.11,-13.70,2.36,-172.91
15:27:00.775,50.00,19.25,175.78,19.25,11.29,7.03,-145.13
15:27:03.491,50.00,12.92,184.14,12.92,-9.77,23.94,-141.44
15:27:04.972,50.00,4.65,283.92,4.65,-0.47,2.02,-127.93
15:27:21.742,1.11,1.26,1.11,1.26,6.41,-0.42,-221.13
15:27:22.856,16.27,1.41,16.27,1.41,0.75,0.12,-222.45
15:27:25.084,0.29,0.07,0.29,0.07,-8.77,1.87,-213.85
15:27:28.948,50.00,50.00,155.66,88.68,-3.53,53.68,-147.37
15:27:29.872,50.00,50.00,156.40,77.00,-1.67,14.99,-117.76
15:27:33.993,-50.00,50.00,-139.14,111.26,16.53,-1.97,-259.10
15:27:34.930,-50.00,50.00,-134.03,113.17,1.24,2.23,-271.01
15:27:38.017,-50.00,50.00,-130.18,101.27,1.07,-84.38,-347.05
15:27:38.535,-50.00,50.00,-132.85,102.52,-6.04,-92.72,-347.64
15:27:39.786,-50.00,50.00,-133.41,118.52,-1.37,-56.63,-287.06
