Timestamp,Clamped_X,Clamped_Y,Raw_X,Raw_Y,Vx,Vy,Vz
15:30:26.383,50.00,0.52,79.47,0.52,3.89,-16.17,-198.83
15:30:28.106,14.96,-50.00,14.96,-52.96,-10.74,-73.94,-222.01
15:30:28.627,4.24,-50.00,4.24,-64.59,-14.20,-53.73,-206.03
15:30:29.304,-6.98,12.28,-6.98,12.28,-12.65,127.15,-219.56
15:30:30.114,-10.00,20.01,-10.00,20.01,17.60,225.33,-219.08
15:30:30.472,-10.40,-22.73,-10.40,-22.73,7.88,44.40,-226.89
15:30:32.584,-12.16,29.20,-12.16,29.20,10.97,261.27,-238.37
15:30:33.095,-31.63,-50.00,-31.63,-87.43,-2.58,29.51,-231.19
15:30:33.830,-35.62,-50.00,-35.62,-213.75,-13.58,-287.47,-217.58
15:30:35.549,-6.26,-46.30,-6.26,-46.30,13.03,31.38,-225.66
15:30:35.889,-7.08,1.90,-7.08,1.90,12.70,199.93,-237.15
15:30:37.173,4.58,1.52,4.58,1.52,12.91,-4.84,-220.17
15:31:26.038,-50.00,50.00,-138.17,114.60,-3.82,3.97,-241.35
15:31:29.305,-50.00,50.00,-128.18,107.11,-0.92,-80.52,-343.86
15:31:30.112,-50.00,50.00,-129.60,108.21,-6.60,-86.13,-357.21
15:31:31.911,-50.00,50.00,-129.30,99.89,-5.35,-103.71,-381.14
15:31:34.693,-50.00,50.00,-138.57,116.02,-13.17,-61.27,-307.43
15:31:36.083,-50.00,50.00,-128.85,94.04,-8.57,-186.33,-458.55
15:31:36.711,-50.00,50.00,-127.45,90.25,-12.96,-180.73,-484.86
15:31:37.752,-50.00,50.00,-118.56,170.71,3.69,39.87,-220.83
15:31:38.439,-50.00,50.00,-127.34,102.70,-13.99,-141.67,-403.99
15:31:38.841,-50.00,50.00,-123.47,185.04,-0.86,55.33,-174.88
15:31:39.354,-50.00,50.00,-134.75,104.18,-14.83,-123.02,-384.74
15:31:41.724,-50.00,50.00,-109.51,220.57,5.09,62.43,-181.27
15:31:42.000,-50.00,50.00,-107.95,165.03,3.30,-54.64,-311.64
15:31:42.595,-50.00,50.00,-100.12,245.31,8.84,83.85,-152.97
15:31:42.993,-50.00,50.00,-98.34,357.41,2.28,134.53,-61.26
15:31:43.743,-50.00,50.00,-113.76,110.17,-15.73,-194.82,-501.82
15:31:45.033,-50.00,50.00,-141.66,109.68,-12.38,-10.45,-280.33
15:31:46.144,-50.00,50.00,-88.06,215.44,17.75,-34.05,-269.18
15:31:47.065,-50.00,50.00,-93.83,358.91,13.21,175.79,-14.19
15:31:56.362,15.34,-5.35,15.34,-5.35,3.54,-0.78,-230.12
15:32:19.049,-50.00,50.00,-97.07,275.48,14.62,140.55,-581.86
15:32:29.497,50.00,22.73,253.93,22.73,-16.95,9.42,-144.30
15:32:29.888,50.00,18.31,246.38,18.31,-15.05,-2.19,-143.42
15:32:53.523,-50.00,50.00,-121.09,108.44,14.94,-17.64,-227.59
15:32:58.272,-50.00,50.00,-134.61,83.00,-14.06,-141.44,-466.74
15:33:00.669,-50.00,50.00,-130.90,89.30,-15.54,-106.14,-415.39
15:33:01.585,-50.00,50.00,-130.51,98.86,-15.87,-113.05,-387.20
15:33:02.115,-50.00,50.00,-125.48,112.92,-6.97,-72.39,-329.61
15:33:03.141,-50.00,50.00,-136.90,64.93,9.73,-215.53,-352.93
15:33:05.306,-50.00,-44.35,-96.53,-44.35,16.95,-34.46,-258.91
15:33:06.458,-45.81,-50.00,-45.81,-79.23,4.69,-33.27,-221.86
15:33:10.950,-50.00,50.00,-116.27,214.04,11.81,121.49,-241.09
15:33:14.487,-50.00,50.00,-93.66,276.02,3.46,6.73,-220.59
15:33:27.797,-50.00,-50.00,-62.39,-126.67,2.40,-64.33,-234.93
15:33:28.478,-45.82,-50.00,-45.82,-150.06,15.30,-45.66,-228.49
15:33:36.976,-50.00,50.00,-127.44,113.41,5.23,122.36,-308.53
15:33:43.417,16.79,-3.28,16.79,-3.28,-12.00,-0.20,-206.26
15:33:48.574,-50.00,50.00,-136.99,94.40,-8.85,-97.72,-393.99
15:33:51.308,-50.00,50.00,-135.37,104.09,-9.43,-30.32,-285.29
15:33:51.883,-50.00,50.00,-129.69,95.23,-4.89,-118.65,-388.36
15:33:52.408,-50.00,50.00,-126.22,95.82,-4.29,-129.11,-405.70
15:33:55.433,-50.00,50.00,-140.65,116.12,-12.70,9.19,-241.89
15:33:56.441,-50.00,50.00,-121.62,85.19,1.88,-216.94,-510.02
15:34:00.275,-22.94,32.81,-22.94,32.81,1.24,-16.64,-217.58
15:34:01.648,14.44,50.00,14.44,57.95,11.85,54.57,-300.77
15:34:05.653,-50.00,50.00,-131.09,114.08,-5.91,0.43,-261.16
15:34:18.733,-50.00,50.00,-136.51,113.57,-3.55,-5.35,-240.75
15:34:24.072,-50.00,50.00,-132.50,112.43,9.84,-3.21,-239.46
15:34:31.391,-50.00,50.00,-125.87,112.97,-0.64,-78.69,-323.13
15:34:34.216,-50.00,50.00,-128.23,101.39,-9.68,-57.69,-354.39
15:34:35.800,-50.00,50.00,-120.60,107.27,3.07,-132.02,-401.49
15:34:37.236,-50.00,50.00,-126.83,90.42,-1.21,-143.10,-426.57
